2012-2013,La-Liga
Rk,Club,Mp,W,D,L,Pts
﻿1,Barcelona,38,32,4,2,100
2,Real Madrid,38,26,7,5,85
3,Atlético Madrid,38,23,7,8,76
4,Real Sociedad,38,18,12,8,66
5,Valencia,38,19,8,11,65
6,Málaga,38,16,9,13,57
7,Betis,38,16,8,14,56
8,Rayo Vallecano,38,16,5,17,53
9,Sevilla,38,14,8,16,50
10,Getafe,38,13,8,17,47
11,Levante,38,12,10,16,46
12,Athletic Club,38,12,9,17,45
13,Espanyol,38,11,11,16,44
14,Valladolid,38,11,10,17,43
15,Granada,38,11,9,18,42
16,Osasuna,38,10,9,19,39
17,Celta Vigo,38,10,7,21,37
18,Mallorca,38,9,9,20,36
19,La Coruña,38,8,11,19,35
20,Zaragoza,38,9,7,22,34
﻿2013-2014,La-Liga
Rk,Club,Mp,W,D,L,Pts
﻿1,Atlético Madrid,38,28,6,4,90
2,Barcelona,38,27,6,5,87
3,Real Madrid,38,27,6,5,87
4,Athletic Club,38,20,10,8,70
5,Sevilla,38,18,9,11,63
6,Villarreal,38,17,8,13,59
7,Real Sociedad,38,16,11,11,59
8,Valencia,38,13,10,15,49
9,Celta Vigo,38,14,7,17,49
10,Levante,38,12,12,14,48
11,Málaga,38,12,9,17,45
12,Rayo Vallecano,38,13,4,21,43
13,Getafe,38,11,9,18,42
14,Espanyol,38,11,9,18,42
15,Granada,38,12,5,21,41
16,Elche,38,9,13,16,40
17,Almería,38,11,7,20,40
18,Osasuna,38,10,9,19,39
19,Valladolid,38,7,15,16,36
20,Betis,38,6,7,25,25
﻿2014-2015,La-Liga
Rk,Club,Mp,W,D,L,Pts
﻿1,Barcelona,38,30,4,4,94
2,Real Madrid,38,30,2,6,92
3,Atlético Madrid,38,23,9,6,78
4,Valencia,38,22,11,5,77
5,Sevilla,38,23,7,8,76
6,Villarreal,38,16,12,10,60
7,Athletic Club,38,15,10,13,55
8,Celta Vigo,38,13,12,13,51
9,Málaga,38,14,8,16,50
10,Espanyol,38,13,10,15,49
11,Rayo Vallecano,38,15,4,19,49
12,Real Sociedad,38,11,13,14,46
13,Elche,38,11,8,19,41
14,Levante,38,9,10,19,37
15,Getafe,38,10,7,21,37
16,La Coruña,38,7,14,17,35
17,Granada,38,7,14,17,35
18,Eibar,38,9,8,21,35
19,Almería,38,8,8,22,29
20,Córdoba,38,3,11,24,20
﻿2015-2016,La-Liga
Rk,Club,Mp,W,D,L,Pts
﻿1,Barcelona,38,29,4,5,91
2,Real Madrid,38,28,6,4,90
3,Atlético Madrid,38,28,4,6,88
4,Villarreal,38,18,10,10,64
5,Athletic Club,38,18,8,12,62
6,Celta Vigo,38,17,9,12,60
7,Sevilla,38,14,10,14,52
8,Málaga,38,12,12,14,48
9,Real Sociedad,38,13,9,16,48
10,Betis,38,11,12,15,45
11,Las Palmas,38,12,8,18,44
12,Valencia,38,11,11,16,44
13,Espanyol,38,12,7,19,43
14,Eibar,38,11,10,17,43
15,La Coruña,38,8,18,12,42
16,Granada,38,10,9,19,39
17,Sporting Gijón,38,10,9,19,39
18,Rayo Vallecano,38,9,11,18,38
19,Getafe,38,9,9,20,36
20,Levante,38,8,8,22,32
﻿2016-2017,La-Liga
Rk,Club,Mp,W,D,L,Pts
﻿1,Real Madrid,38,29,6,3,93
2,Barcelona,38,28,6,4,90
3,Atlético Madrid,38,23,9,6,78
4,Sevilla,38,21,9,8,72
5,Villarreal,38,19,10,9,67
6,Real Sociedad,38,19,7,12,64
7,Athletic Club,38,19,6,13,63
8,Espanyol,38,15,11,12,56
9,Alavés,38,14,13,11,55
10,Eibar,38,15,9,14,54
11,Málaga,38,12,10,16,46
12,Valencia,38,13,7,18,46
13,Celta Vigo,38,13,6,19,45
14,Las Palmas,38,10,9,19,39
15,Betis,38,10,9,19,39
16,La Coruña,38,8,12,18,36
17,Leganés,38,8,11,19,35
18,Sporting Gijón,38,7,10,21,31
19,Osasuna,38,4,10,24,22
20,Granada,38,4,8,26,20
﻿2017-2018,La-Liga
Rk,Club,Mp,W,D,L,Pts
﻿1,Barcelona,38,28,9,1,93
2,Atlético Madrid,38,23,10,5,79
3,Real Madrid,38,22,10,6,76
4,Valencia,38,22,7,9,73
5,Villarreal,38,18,7,13,61
6,Betis,38,18,6,14,60
7,Sevilla,38,17,7,14,58
8,Getafe,38,15,10,13,55
9,Eibar,38,14,9,15,51
10,Girona,38,14,9,15,51
11,Espanyol,38,12,13,13,49
12,Real Sociedad,38,14,7,17,49
13,Celta Vigo,38,13,10,15,49
14,Alavés,38,15,2,21,47
15,Levante,38,11,13,14,46
16,Athletic Club,38,10,13,15,43
17,Leganés,38,12,7,19,43
18,La Coruña,38,6,11,21,29
19,Las Palmas,38,5,7,26,22
20,Málaga,38,5,5,28,20
﻿2018-2019,La-Liga
Rk,Club,Mp,W,D,L,Pts
﻿1,Barcelona,38,26,9,3,87
2,Atlético Madrid,38,22,10,6,76
3,Real Madrid,38,21,5,12,68
4,Valencia,38,15,16,7,61
5,Getafe,38,15,14,9,59
6,Sevilla,38,17,8,13,59
7,Espanyol,38,14,11,13,53
8,Athletic Club,38,13,14,11,53
9,Real Sociedad,38,13,11,14,50
10,Betis,38,14,8,16,50
11,Alavés,38,13,11,14,50
12,Eibar,38,11,14,13,47
13,Leganés,38,11,12,15,45
14,Villarreal,38,10,14,14,44
15,Levante,38,11,11,16,44
16,Valladolid,38,10,11,17,41
17,Celta Vigo,38,10,11,17,41
18,Girona,38,9,10,19,37
19,Huesca,38,7,12,19,33
20,Rayo Vallecano,38,8,8,22,32
﻿2019-2020,La-Liga
Rk,Club,Mp,W,D,L,Pts
﻿1,Real Madrid,38,26,9,3,87
2,Barcelona,38,25,7,6,82
3,Atlético Madrid,38,18,16,4,70
4,Sevilla,38,19,13,6,70
5,Villarreal,38,18,6,14,60
6,Real Sociedad,38,16,8,14,56
7,Granada,38,16,8,14,56
8,Getafe,38,14,12,12,54
9,Valencia,38,14,11,13,53
10,Osasuna,38,13,13,12,52
11,Athletic Club,38,13,12,13,51
12,Levante,38,14,7,17,49
13,Valladolid,38,9,15,14,42
14,Eibar,38,11,9,18,42
15,Betis,38,10,11,17,41
16,Alavés,38,10,9,19,39
17,Celta Vigo,38,7,16,15,37
18,Leganés,38,8,12,18,36
19,Mallorca,38,9,6,23,33
